gene	parent_id	expression_bin	sample_id	expression	target_UMEND_count	median_of_depth_bin	publication_id
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.464668267	24	24	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.48026512205	48	48	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.49057013045	40	40	S1
ZXDB	TH_Eval_014	1.5	TH_Eval_014_est8M_UMEND_seqtk_seed_2622	1.62293035092	8	8	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est32M_UMEND_seqtk_seed_3920	1.516015147	32	32	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est1M_UMEND_seqtk_seed_2771	0.659924558402	1	0	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est20M_UMEND_seqtk_seed_2226	1.49569516262	20	20	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est4M_UMEND_seqtk_seed_5411	1.52606881167	4	4	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est44M_UMEND_seqtk_seed_7750	1.53605290024	44	44	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est28M_UMEND_seqtk_seed_6451	1.464668267	28	28	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est36M_UMEND_seqtk_seed_7519	1.48026512205	36	36	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est16M_UMEND_seqtk_seed_6933	1.41683974191	16	16	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est12M_UMEND_seqtk_seed_9311	1.56559717585	12	12	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est24M_UMEND_seqtk_seed_1120	1.58496250072	24	24	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est48M_UMEND_seqtk_seed_9314	1.516015147	48	48	S1
NEIL3	TH_Eval_014	1.5	TH_Eval_014_est40M_UMEND_seqtk_seed_4956	1.5210507369	40	40	S1
