Disease	Eval_ID	gene
glioma (astrocytoma)	TH_Eval_015	STAC2
glioma (astrocytoma)	TH_Eval_015	STAG3L4
glioma (astrocytoma)	TH_Eval_015	TANGO2
glioma (astrocytoma)	TH_Eval_015	TMEM106C
glioma (astrocytoma)	TH_Eval_015	TMEM60
glioma (astrocytoma)	TH_Eval_015	TRAPPC2L
glioma (astrocytoma)	TH_Eval_015	TRPM3
glioma (astrocytoma)	TH_Eval_015	TSPAN10
glioma (astrocytoma)	TH_Eval_015	TTR
glioma (astrocytoma)	TH_Eval_015	TXNL4A
glioma (astrocytoma)	TH_Eval_015	TYR
glioma (astrocytoma)	TH_Eval_015	TYRP1
glioma (astrocytoma)	TH_Eval_015	UAP1L1
glioma (astrocytoma)	TH_Eval_015	UROS
glioma (astrocytoma)	TH_Eval_015	VSIG4
glioma (astrocytoma)	TH_Eval_015	WBSCR16
glioma (astrocytoma)	TH_Eval_015	WI2-1896O14.1
glioma (astrocytoma)	TH_Eval_015	ZIC1
glioma (astrocytoma)	TH_Eval_015	ZNF106
medulloblastoma	TH_Eval_016	AAAS
medulloblastoma	TH_Eval_016	ABCC8
medulloblastoma	TH_Eval_016	AC004453.8
medulloblastoma	TH_Eval_016	AC007969.5
medulloblastoma	TH_Eval_016	ACAP3
medulloblastoma	TH_Eval_016	ACIN1
medulloblastoma	TH_Eval_016	ACTG1
medulloblastoma	TH_Eval_016	ACTL6B
medulloblastoma	TH_Eval_016	AGAP1
medulloblastoma	TH_Eval_016	AIPL1
medulloblastoma	TH_Eval_016	AKAP8L
medulloblastoma	TH_Eval_016	AMPD2
medulloblastoma	TH_Eval_016	ANKRD13B
medulloblastoma	TH_Eval_016	ANKZF1
medulloblastoma	TH_Eval_016	ANO2
medulloblastoma	TH_Eval_016	AP3B2
medulloblastoma	TH_Eval_016	APCDD1L
medulloblastoma	TH_Eval_016	APCDD1L-AS1
medulloblastoma	TH_Eval_016	ARHGDIG
medulloblastoma	TH_Eval_016	ASIC1
medulloblastoma	TH_Eval_016	ASXL1
medulloblastoma	TH_Eval_016	ATG4B
medulloblastoma	TH_Eval_016	ATG9A
medulloblastoma	TH_Eval_016	ATP13A1
medulloblastoma	TH_Eval_016	ATP1A3
medulloblastoma	TH_Eval_016	ATP1B2
medulloblastoma	TH_Eval_016	ATP5SL
medulloblastoma	TH_Eval_016	AUP1
medulloblastoma	TH_Eval_016	AUTS2
medulloblastoma	TH_Eval_016	BCS1L
medulloblastoma	TH_Eval_016	BICD1
medulloblastoma	TH_Eval_016	BPTF
medulloblastoma	TH_Eval_016	BRD8
medulloblastoma	TH_Eval_016	BRSK2
medulloblastoma	TH_Eval_016	C1orf61
medulloblastoma	TH_Eval_016	CA4
medulloblastoma	TH_Eval_016	CABP7
medulloblastoma	TH_Eval_016	CACNA1G
medulloblastoma	TH_Eval_016	CAD
medulloblastoma	TH_Eval_016	CADM3
medulloblastoma	TH_Eval_016	CADPS
medulloblastoma	TH_Eval_016	CAMKV
medulloblastoma	TH_Eval_016	CBFA2T2
medulloblastoma	TH_Eval_016	CBLN1
medulloblastoma	TH_Eval_016	CCDC101
medulloblastoma	TH_Eval_016	CDH24
medulloblastoma	TH_Eval_016	CDHR1
medulloblastoma	TH_Eval_016	CELF3
medulloblastoma	TH_Eval_016	CELSR3
medulloblastoma	TH_Eval_016	CENPBD1P1
medulloblastoma	TH_Eval_016	CEP250
medulloblastoma	TH_Eval_016	CEP95
medulloblastoma	TH_Eval_016	CHGA
medulloblastoma	TH_Eval_016	CHGB
medulloblastoma	TH_Eval_016	CHN2
medulloblastoma	TH_Eval_016	CIZ1
medulloblastoma	TH_Eval_016	CLASP2
medulloblastoma	TH_Eval_016	CLASRP
medulloblastoma	TH_Eval_016	CLK2
medulloblastoma	TH_Eval_016	CMTR1
medulloblastoma	TH_Eval_016	CNNM3
medulloblastoma	TH_Eval_016	CNTFR
medulloblastoma	TH_Eval_016	CNTROB
medulloblastoma	TH_Eval_016	COL27A1
medulloblastoma	TH_Eval_016	CPLX3
medulloblastoma	TH_Eval_016	CPNE7
medulloblastoma	TH_Eval_016	CPSF3L
medulloblastoma	TH_Eval_016	CRMP1
medulloblastoma	TH_Eval_016	CROCC
medulloblastoma	TH_Eval_016	CRX
medulloblastoma	TH_Eval_016	CRY1
medulloblastoma	TH_Eval_016	CRYBG3
medulloblastoma	TH_Eval_016	CSNK1E
medulloblastoma	TH_Eval_016	CSPG5
medulloblastoma	TH_Eval_016	CTC-435M10.3
medulloblastoma	TH_Eval_016	CTC1
medulloblastoma	TH_Eval_016	CTD-2192J16.15
medulloblastoma	TH_Eval_016	CTD-2537I9.12
medulloblastoma	TH_Eval_016	CYP2W1
medulloblastoma	TH_Eval_016	DDB2
medulloblastoma	TH_Eval_016	DDX55
medulloblastoma	TH_Eval_016	DENND4B
medulloblastoma	TH_Eval_016	DHPS
medulloblastoma	TH_Eval_016	DHX34
medulloblastoma	TH_Eval_016	DNMT3A
medulloblastoma	TH_Eval_016	DOC2A
medulloblastoma	TH_Eval_016	DOT1L
medulloblastoma	TH_Eval_016	DPH1
medulloblastoma	TH_Eval_016	DPH5
medulloblastoma	TH_Eval_016	DRAXIN
medulloblastoma	TH_Eval_016	DUS3L
medulloblastoma	TH_Eval_016	DUSP8
medulloblastoma	TH_Eval_016	EBF1
medulloblastoma	TH_Eval_016	ECSIT
medulloblastoma	TH_Eval_016	EDN2
medulloblastoma	TH_Eval_016	EIF2B4
medulloblastoma	TH_Eval_016	ENO3
medulloblastoma	TH_Eval_016	EPHA8
medulloblastoma	TH_Eval_016	EXOSC10
medulloblastoma	TH_Eval_016	FAM57B
medulloblastoma	TH_Eval_016	FGF11
medulloblastoma	TH_Eval_016	FNDC5
medulloblastoma	TH_Eval_016	FRMPD2
medulloblastoma	TH_Eval_016	GABRA5
medulloblastoma	TH_Eval_016	GABRB3
medulloblastoma	TH_Eval_016	GABRG2
medulloblastoma	TH_Eval_016	GDAP1L1
medulloblastoma	TH_Eval_016	GDI1
medulloblastoma	TH_Eval_016	GFAP
medulloblastoma	TH_Eval_016	GGA3
medulloblastoma	TH_Eval_016	GLIPR2
medulloblastoma	TH_Eval_016	GNAO1
medulloblastoma	TH_Eval_016	GNB2L1
medulloblastoma	TH_Eval_016	GNB3
medulloblastoma	TH_Eval_016	GPM6A
medulloblastoma	TH_Eval_016	GRAMD1B
medulloblastoma	TH_Eval_016	GRIN1
medulloblastoma	TH_Eval_016	GSG1
